,Unnamed: 0,K,y_mean,p,variance,variance_verdoja,our_formula
26,26,5,100,0.9,12.87750384935814,2295.918367346939,6.631800650752489
27,27,5,1000,0.001,71.51411642421182,200.12006402559996,0.1792434061855609
28,28,5,1000,0.05,3535.5999703658185,10308.159722222223,982.2297368058789
29,29,5,1000,0.1,7033.91465444168,21266.54064272212,3100.9656090107997
30,30,5,1000,0.2,14012.406459803724,45351.47392290249,8866.655232836083
31,31,5,1000,0.3,20807.307821585237,72714.6814404432,15751.428851079803
32,32,5,1000,0.5,34532.148929020965,138888.88888888888,31340.958808537787
33,33,5,1000,0.7,48082.13921553663,216942.1487603306,48374.55359602397
34,34,5,1000,0.8,55005.52769042678,246913.58024691348,57252.84225774247
35,35,5,1000,0.9,61001.81754702683,229591.83673469385,66318.00650752489
36,36,10,1,0.001,0.0001970572188799,0.00010008006304863649,2.4632587971770052e-11
37,37,10,1,0.05,0.0002796293311812,0.005208190564951617,4.7017247675592664e-09
38,38,10,1,0.1,0.0001935440455091,0.010868252626494386,1.0161319714307902e-08
39,39,10,1,0.2,0.0003493150532961,0.023795359904818562,2.1487373894763177e-08
40,40,10,1,0.3,0.0003526032477522,0.039407018202289354,3.304500084553379e-08
41,41,10,1,0.5,0.0006649918021298,0.08264462809917356,5.647882756599883e-08
42,42,10,1,0.7,0.0018589741528101,0.1533966398831264,8.014171336283597e-08
43,43,10,1,0.8,0.0027735408066685,0.2040816326530612,9.20270846749926e-08
44,44,10,1,0.9,0.0048716455330802,0.24930747922437668,1.039394932968826e-07
45,45,10,10,0.001,0.0063762127910433,0.01000800630486365,2.463258797177005e-07
46,46,10,10,0.05,0.043269907952409,0.5208190564951618,4.701724767559266e-05
47,47,10,10,0.1,0.0062132351021856,1.0868252626494386,0.000101613197143079
48,48,10,10,0.2,0.0001629527285459,2.3795359904818563,0.00021487373894763176
49,49,10,10,0.3,0.0002564043393248,3.9407018202289357,0.00033045000845533787
50,50,10,10,0.5,0.0005829236615014,8.264462809917354,0.0005647882756599883
51,51,10,10,0.7,0.0010847835257785,15.33966398831264,0.0008014171336283596
52,52,10,10,0.8,0.0006677315457899,20.408163265306122,0.0009202708467499259
53,53,10,10,0.9,0.0010078493692817,24.93074792243767,0.001039394932968826
54,54,10,100,0.001,0.7199322214733098,1.000800630486365,0.002463258797177005
55,55,10,100,0.05,36.75042956501663,52.08190564951618,0.47017247675592666
56,56,10,100,0.1,70.40125123631081,108.68252626494386,1.0161319714307901
57,57,10,100,0.2,134.73233917912927,237.95359904818562,2.148737389476318
58,58,10,100,0.3,195.32951782218188,394.07018202289356,3.304500084553378
59,59,10,100,0.5,298.82220253853563,826.4462809917355,5.647882756599882
60,60,10,100,0.7,332.95815513130805,1533.9663988312639,8.014171336283596
61,61,10,100,0.8,268.69939567877975,2040.816326530612,9.20270846749926
62,62,10,100,0.9,102.22398918587244,2493.0747922437668,10.39394932968826
63,63,10,1000,0.001,77.5951896995267,100.08006304863649,24.63258797177005
64,64,10,1000,0.05,4299.919273804324,5208.1905649516175,4701.724767559266
65,65,10,1000,0.1,8864.725750856667,10868.252626494386,10161.319714307901
